Date,Station_Name,Product_Category,Shift,Supervisor,Weekday,Product,Quantity,Unit_Price,Revenue,Month_Name,Month_Number,Quarter,,
04/01/2025,Idimu,Automotive Fuel,Afternoon,Miss Ada,Saturday,Lubricant,679,"₦2,000","₦1,358,000",January,1,1,,
04/01/2025,Idimu,Automotive Fuel,Afternoon,Miss Ada,Saturday,Diesel,9188,₦820,"₦7,534,160",January,1,1,,
04/01/2025,Idimu,Automotive Fuel,Afternoon,Miss Ada,Saturday,LPG (kg),2465,₦850,"₦2,095,250",January,1,1,,
05/01/2025,Iwaya,Cooking Gas,Afternoon,Mr Tunde,Sunday,AGO,10284,₦750,"₦7,713,000",January,1,1,,
05/01/2025,Iwaya,Cooking Gas,Afternoon,Mr Tunde,Sunday,PMS,10074,₦650,"₦6,548,100",January,1,1,,
05/01/2025,Iwaya,Cooking Gas,Afternoon,Mr Tunde,Sunday,Lubricant,662,"₦2,000","₦1,324,000",January,1,1,,
05/01/2025,Iwaya,Cooking Gas,Afternoon,Mr Tunde,Sunday,Diesel,16289,₦820,"₦13,356,980",January,1,1,,
05/01/2025,Iwaya,Cooking Gas,Afternoon,Mr Tunde,Sunday,LPG (kg),1824,₦850,"₦1,550,400",January,1,1,,
06/01/2025,Maryland,Automotive Fuel,Afternoon,Miss Ada,Monday,AGO,5053,₦750,"₦3,789,750",January,1,1,,
06/01/2025,Maryland,Automotive Fuel,Afternoon,Miss Ada,Monday,PMS,22397,₦650,"₦14,558,050",January,1,1,,
06/01/2025,Maryland,Automotive Fuel,Afternoon,Miss Ada,Monday,Lubricant,1239,"₦2,000","₦2,478,000",January,1,1,,
06/01/2025,Maryland,Automotive Fuel,Afternoon,Miss Ada,Monday,Diesel,9611,₦820,"₦7,881,020",January,1,1,,
06/01/2025,Maryland,Automotive Fuel,Afternoon,Miss Ada,Monday,LPG (kg),2371,₦850,"₦2,015,350",January,1,1,,
07/01/2025,Idimu,Automotive Fuel,Afternoon,Mr Tunde,Tuesday,AGO,10466,₦750,"₦7,849,500",January,1,1,,
07/01/2025,Idimu,Automotive Fuel,Afternoon,Mr Tunde,Tuesday,PMS,21070,₦650,"₦13,695,500",January,1,1,,
07/01/2025,Idimu,Automotive Fuel,Afternoon,Mr Tunde,Tuesday,Lubricant,783,"₦2,000","₦1,566,000",January,1,1,,
07/01/2025,Idimu,Automotive Fuel,Afternoon,Mr Tunde,Tuesday,Diesel,13532,₦820,"₦11,096,240",January,1,1,,
07/01/2025,Idimu,Automotive Fuel,Afternoon,Mr Tunde,Tuesday,LPG (kg),1076,₦850,"₦914,600",January,1,1,,
08/01/2025,Iwaya,Lubricant,Night,Mrs Chika,Wednesday,AGO,11083,₦750,"₦8,312,250",January,1,1,,
08/01/2025,Iwaya,Lubricant,Night,Mrs Chika,Wednesday,PMS,28694,₦650,"₦18,651,100",January,1,1,,
08/01/2025,Iwaya,Lubricant,Night,Mrs Chika,Wednesday,Lubricant,1021,"₦2,000","₦2,042,000",January,1,1,,
08/01/2025,Iwaya,Lubricant,Night,Mrs Chika,Wednesday,Diesel,9731,₦820,"₦7,979,420",January,1,1,,
08/01/2025,Iwaya,Lubricant,Night,Mrs Chika,Wednesday,LPG (kg),1012,₦850,"₦860,200",January,1,1,,
09/01/2025,Maryland,Lubricant,Afternoon,Mrs Chika,Thursday,AGO,13032,₦750,"₦9,774,000",January,1,1,,
09/01/2025,Maryland,Lubricant,Afternoon,Mrs Chika,Thursday,PMS,28180,₦650,"₦18,317,000",January,1,1,,
09/01/2025,Maryland,Lubricant,Afternoon,Mrs Chika,Thursday,Lubricant,576,"₦2,000","₦1,152,000",January,1,1,,
09/01/2025,Maryland,Lubricant,Afternoon,Mrs Chika,Thursday,Diesel,19121,₦820,"₦15,679,220",January,1,1,,
09/01/2025,Maryland,Lubricant,Afternoon,Mrs Chika,Thursday,LPG (kg),2028,₦850,"₦1,723,800",January,1,1,,
10/01/2025,Idimu,Automotive Fuel,Afternoon,Mrs Chika,Friday,AGO,6745,₦750,"₦5,058,750",January,1,1,,
10/01/2025,Idimu,Automotive Fuel,Afternoon,Mrs Chika,Friday,PMS,18554,₦650,"₦12,060,100",January,1,1,,
10/01/2025,Idimu,Automotive Fuel,Afternoon,Mrs Chika,Friday,Lubricant,929,"₦2,000","₦1,858,000",January,1,1,,
10/01/2025,Idimu,Automotive Fuel,Afternoon,Mrs Chika,Friday,Diesel,16028,₦820,"₦13,142,960",January,1,1,,
10/01/2025,Idimu,Automotive Fuel,Afternoon,Mrs Chika,Friday,LPG (kg),1613,₦850,"₦1,371,050",January,1,1,,
11/01/2025,Iwaya,Automotive Fuel,Morning,Mr Tunde,Saturday,AGO,11097,₦750,"₦8,322,750",January,1,1,,
11/01/2025,Iwaya,Automotive Fuel,Morning,Mr Tunde,Saturday,PMS,14433,₦650,"₦9,381,450",January,1,1,,
11/01/2025,Iwaya,Automotive Fuel,Morning,Mr Tunde,Saturday,Lubricant,1196,"₦2,000","₦2,392,000",January,1,1,,
11/01/2025,Iwaya,Automotive Fuel,Morning,Mr Tunde,Saturday,Diesel,16604,₦820,"₦13,615,280",January,1,1,,
11/01/2025,Iwaya,Automotive Fuel,Morning,Mr Tunde,Saturday,LPG (kg),1383,₦850,"₦1,175,550",January,1,1,,
12/01/2025,Maryland,Automotive Fuel,Night,Mr Tunde,Sunday,AGO,8605,₦750,"₦6,453,750",January,1,1,,
12/01/2025,Maryland,Automotive Fuel,Night,Mr Tunde,Sunday,PMS,10455,₦650,"₦6,795,750",January,1,1,,
12/01/2025,Maryland,Automotive Fuel,Night,Mr Tunde,Sunday,Lubricant,860,"₦2,000","₦1,720,000",January,1,1,,
12/01/2025,Maryland,Automotive Fuel,Night,Mr Tunde,Sunday,Diesel,15783,₦820,"₦12,942,060",January,1,1,,
12/01/2025,Maryland,Automotive Fuel,Night,Mr Tunde,Sunday,LPG (kg),2375,₦850,"₦2,018,750",January,1,1,,
13/01/2025,Idimu,Automotive Fuel,Morning,Mrs Chika,Monday,AGO,11547,₦750,"₦8,660,250",January,1,1,,
13/01/2025,Idimu,Automotive Fuel,Morning,Mrs Chika,Monday,PMS,26686,₦650,"₦17,345,900",January,1,1,,
13/01/2025,Idimu,Automotive Fuel,Morning,Mrs Chika,Monday,Lubricant,750,"₦2,000","₦1,500,000",January,1,1,,
13/01/2025,Idimu,Automotive Fuel,Morning,Mrs Chika,Monday,Diesel,18632,₦820,"₦15,278,240",January,1,1,,
13/01/2025,Idimu,Automotive Fuel,Morning,Mrs Chika,Monday,LPG (kg),2778,₦850,"₦2,361,300",January,1,1,,
14/01/2025,Iwaya,Lubricant,Afternoon,Miss Ada,Tuesday,AGO,10036,₦750,"₦7,527,000",January,1,1,,
14/01/2025,Iwaya,Lubricant,Afternoon,Miss Ada,Tuesday,PMS,21319,₦650,"₦13,857,350",January,1,1,,
14/01/2025,Iwaya,Lubricant,Afternoon,Miss Ada,Tuesday,Lubricant,1371,"₦2,000","₦2,742,000",January,1,1,,
14/01/2025,Iwaya,Lubricant,Afternoon,Miss Ada,Tuesday,Diesel,14533,₦820,"₦11,917,060",January,1,1,,
14/01/2025,Iwaya,Lubricant,Afternoon,Miss Ada,Tuesday,LPG (kg),2257,₦850,"₦1,918,450",January,1,1,,
15/01/2025,Maryland,Lubricant,Afternoon,Miss Ada,Wednesday,AGO,8784,₦750,"₦6,588,000",January,1,1,,
15/01/2025,Maryland,Lubricant,Afternoon,Miss Ada,Wednesday,PMS,10359,₦650,"₦6,733,350",January,1,1,,
15/01/2025,Maryland,Lubricant,Afternoon,Miss Ada,Wednesday,Lubricant,731,"₦2,000","₦1,462,000",January,1,1,,
15/01/2025,Maryland,Lubricant,Afternoon,Miss Ada,Wednesday,Diesel,16503,₦820,"₦13,532,460",January,1,1,,
15/01/2025,Maryland,Lubricant,Afternoon,Miss Ada,Wednesday,LPG (kg),1190,₦850,"₦1,011,500",January,1,1,,
16/01/2025,Idimu,Lubricant,Night,Mrs Chika,Thursday,AGO,14159,₦750,"₦10,619,250",January,1,1,,
16/01/2025,Idimu,Lubricant,Night,Mrs Chika,Thursday,PMS,15130,₦650,"₦9,834,500",January,1,1,,
16/01/2025,Idimu,Lubricant,Night,Mrs Chika,Thursday,Lubricant,942,"₦2,000","₦1,884,000",January,1,1,,
16/01/2025,Idimu,Lubricant,Night,Mrs Chika,Thursday,Diesel,16228,₦820,"₦13,306,960",January,1,1,,
16/01/2025,Idimu,Lubricant,Night,Mrs Chika,Thursday,LPG (kg),2510,₦850,"₦2,133,500",January,1,1,,
17/01/2025,Iwaya,Lubricant,Night,Miss Ada,Friday,AGO,7406,₦750,"₦5,554,500",January,1,1,,
17/01/2025,Iwaya,Lubricant,Night,Miss Ada,Friday,PMS,23755,₦650,"₦15,440,750",January,1,1,,
17/01/2025,Iwaya,Lubricant,Night,Miss Ada,Friday,Lubricant,1474,"₦2,000","₦2,948,000",January,1,1,,
17/01/2025,Iwaya,Lubricant,Night,Miss Ada,Friday,Diesel,12832,₦820,"₦10,522,240",January,1,1,,
17/01/2025,Iwaya,Lubricant,Night,Miss Ada,Friday,LPG (kg),2654,₦850,"₦2,255,900",January,1,1,,
18/01/2025,Maryland,Automotive Fuel,Night,Mr Tunde,Saturday,AGO,9611,₦750,"₦7,208,250",January,1,1,,
18/01/2025,Maryland,Automotive Fuel,Night,Mr Tunde,Saturday,PMS,15622,₦650,"₦10,154,300",January,1,1,,
18/01/2025,Maryland,Automotive Fuel,Night,Mr Tunde,Saturday,Lubricant,1173,"₦2,000","₦2,346,000",January,1,1,,
18/01/2025,Maryland,Automotive Fuel,Night,Mr Tunde,Saturday,Diesel,17301,₦820,"₦14,186,820",January,1,1,,
18/01/2025,Maryland,Automotive Fuel,Night,Mr Tunde,Saturday,LPG (kg),2276,₦850,"₦1,934,600",January,1,1,,
19/01/2025,Idimu,Cooking Gas,Afternoon,Mr John,Sunday,AGO,7963,₦750,"₦5,972,250",January,1,1,,
19/01/2025,Idimu,Cooking Gas,Afternoon,Mr John,Sunday,PMS,26226,₦650,"₦17,046,900",January,1,1,,
19/01/2025,Idimu,Cooking Gas,Afternoon,Mr John,Sunday,Lubricant,824,"₦2,000","₦1,648,000",January,1,1,,
19/01/2025,Idimu,Cooking Gas,Afternoon,Mr John,Sunday,Diesel,10145,₦820,"₦8,318,900",January,1,1,,
19/01/2025,Idimu,Cooking Gas,Afternoon,Mr John,Sunday,LPG (kg),1695,₦850,"₦1,440,750",January,1,1,,
20/01/2025,Iwaya,Lubricant,Afternoon,Mrs Chika,Monday,AGO,11477,₦750,"₦8,607,750",January,1,1,,
20/01/2025,Iwaya,Lubricant,Afternoon,Mrs Chika,Monday,PMS,27949,₦650,"₦18,166,850",January,1,1,,
20/01/2025,Iwaya,Lubricant,Afternoon,Mrs Chika,Monday,Lubricant,1189,"₦2,000","₦2,378,000",January,1,1,,
20/01/2025,Iwaya,Lubricant,Afternoon,Mrs Chika,Monday,Diesel,18291,₦820,"₦14,998,620",January,1,1,,
20/01/2025,Iwaya,Lubricant,Afternoon,Mrs Chika,Monday,LPG (kg),2649,₦850,"₦2,251,650",January,1,1,,
21/01/2025,Maryland,Lubricant,Night,Mr Tunde,Tuesday,AGO,8414,₦750,"₦6,310,500",January,1,1,,
21/01/2025,Maryland,Lubricant,Night,Mr Tunde,Tuesday,PMS,19987,₦650,"₦12,991,550",January,1,1,,
21/01/2025,Maryland,Lubricant,Night,Mr Tunde,Tuesday,Lubricant,884,"₦2,000","₦1,768,000",January,1,1,,
21/01/2025,Maryland,Lubricant,Night,Mr Tunde,Tuesday,Diesel,18874,₦820,"₦15,476,680",January,1,1,,
21/01/2025,Maryland,Lubricant,Night,Mr Tunde,Tuesday,LPG (kg),2544,₦850,"₦2,162,400",January,1,1,,
22/01/2025,Idimu,Cooking Gas,Afternoon,Mr John,Wednesday,AGO,9078,₦750,"₦6,808,500",January,1,1,,
22/01/2025,Idimu,Cooking Gas,Afternoon,Mr John,Wednesday,PMS,27765,₦650,"₦18,047,250",January,1,1,,
22/01/2025,Idimu,Cooking Gas,Afternoon,Mr John,Wednesday,Lubricant,1010,"₦2,000","₦2,020,000",January,1,1,,
22/01/2025,Idimu,Cooking Gas,Afternoon,Mr John,Wednesday,Diesel,15795,₦820,"₦12,951,900",January,1,1,,
22/01/2025,Idimu,Cooking Gas,Afternoon,Mr John,Wednesday,LPG (kg),1498,₦850,"₦1,273,300",January,1,1,,
23/01/2025,Iwaya,Cooking Gas,Morning,Mr John,Thursday,AGO,11975,₦750,"₦8,981,250",January,1,1,,
23/01/2025,Iwaya,Cooking Gas,Morning,Mr John,Thursday,PMS,14930,₦650,"₦9,704,500",January,1,1,,
23/01/2025,Iwaya,Cooking Gas,Morning,Mr John,Thursday,Lubricant,1088,"₦2,000","₦2,176,000",January,1,1,,
23/01/2025,Iwaya,Cooking Gas,Morning,Mr John,Thursday,Diesel,11528,₦820,"₦9,452,960",January,1,1,,
23/01/2025,Iwaya,Cooking Gas,Morning,Mr John,Thursday,LPG (kg),2646,₦850,"₦2,249,100",January,1,1,,
24/01/2025,Maryland,Automotive Fuel,Afternoon,Miss Ada,Friday,AGO,12569,₦750,"₦9,426,750",January,1,1,,
24/01/2025,Maryland,Automotive Fuel,Afternoon,Miss Ada,Friday,PMS,26735,₦650,"₦17,377,750",January,1,1,,
24/01/2025,Maryland,Automotive Fuel,Afternoon,Miss Ada,Friday,Lubricant,1470,"₦2,000","₦2,940,000",January,1,1,,
24/01/2025,Maryland,Automotive Fuel,Afternoon,Miss Ada,Friday,Diesel,9947,₦820,"₦8,156,540",January,1,1,,
24/01/2025,Maryland,Automotive Fuel,Afternoon,Miss Ada,Friday,LPG (kg),2382,₦850,"₦2,024,700",January,1,1,,
25/01/2025,Idimu,Cooking Gas,Afternoon,Mr Tunde,Saturday,AGO,7928,₦750,"₦5,946,000",January,1,1,,
25/01/2025,Idimu,Cooking Gas,Afternoon,Mr Tunde,Saturday,PMS,24033,₦650,"₦15,621,450",January,1,1,,
25/01/2025,Idimu,Cooking Gas,Afternoon,Mr Tunde,Saturday,Lubricant,902,"₦2,000","₦1,804,000",January,1,1,,
25/01/2025,Idimu,Cooking Gas,Afternoon,Mr Tunde,Saturday,Diesel,18321,₦820,"₦15,023,220",January,1,1,,
25/01/2025,Idimu,Cooking Gas,Afternoon,Mr Tunde,Saturday,LPG (kg),2446,₦850,"₦2,079,100",January,1,1,,
26/01/2025,Iwaya,Cooking Gas,Night,Mr Tunde,Sunday,AGO,11356,₦750,"₦8,517,000",January,1,1,,
26/01/2025,Iwaya,Cooking Gas,Night,Mr Tunde,Sunday,PMS,16292,₦650,"₦10,589,800",January,1,1,,
26/01/2025,Iwaya,Cooking Gas,Night,Mr Tunde,Sunday,Lubricant,1016,"₦2,000","₦2,032,000",January,1,1,,
26/01/2025,Iwaya,Cooking Gas,Night,Mr Tunde,Sunday,Diesel,13767,₦820,"₦11,288,940",January,1,1,,
26/01/2025,Iwaya,Cooking Gas,Night,Mr Tunde,Sunday,LPG (kg),2005,₦850,"₦1,704,250",January,1,1,,
27/01/2025,Maryland,Automotive Fuel,Morning,Miss Ada,Monday,AGO,5833,₦750,"₦4,374,750",January,1,1,,
27/01/2025,Maryland,Automotive Fuel,Morning,Miss Ada,Monday,PMS,11164,₦650,"₦7,256,600",January,1,1,,
27/01/2025,Maryland,Automotive Fuel,Morning,Miss Ada,Monday,Lubricant,634,"₦2,000","₦1,268,000",January,1,1,,
27/01/2025,Maryland,Automotive Fuel,Morning,Miss Ada,Monday,Diesel,12485,₦820,"₦10,237,700",January,1,1,,
27/01/2025,Maryland,Automotive Fuel,Morning,Miss Ada,Monday,LPG (kg),2684,₦850,"₦2,281,400",January,1,1,,
28/01/2025,Idimu,Lubricant,Night,Mrs Chika,Tuesday,AGO,14687,₦750,"₦11,015,250",January,1,1,,
28/01/2025,Idimu,Lubricant,Night,Mrs Chika,Tuesday,PMS,27279,₦650,"₦17,731,350",January,1,1,,
28/01/2025,Idimu,Lubricant,Night,Mrs Chika,Tuesday,Lubricant,1457,"₦2,000","₦2,914,000",January,1,1,,
28/01/2025,Idimu,Lubricant,Night,Mrs Chika,Tuesday,Diesel,9262,₦820,"₦7,594,840",January,1,1,,
28/01/2025,Idimu,Lubricant,Night,Mrs Chika,Tuesday,LPG (kg),2619,₦850,"₦2,226,150",January,1,1,,
29/01/2025,Iwaya,Cooking Gas,Morning,Mr Tunde,Wednesday,AGO,13659,₦750,"₦10,244,250",January,1,1,,
29/01/2025,Iwaya,Cooking Gas,Morning,Mr Tunde,Wednesday,PMS,19171,₦650,"₦12,461,150",January,1,1,,
29/01/2025,Iwaya,Cooking Gas,Morning,Mr Tunde,Wednesday,Lubricant,624,"₦2,000","₦1,248,000",January,1,1,,
29/01/2025,Iwaya,Cooking Gas,Morning,Mr Tunde,Wednesday,Diesel,10862,₦820,"₦8,906,840",January,1,1,,
29/01/2025,Iwaya,Cooking Gas,Morning,Mr Tunde,Wednesday,LPG (kg),2516,₦850,"₦2,138,600",January,1,1,,
30/01/2025,Maryland,Automotive Fuel,Night,Mr John,Thursday,AGO,8302,₦750,"₦6,226,500",January,1,1,,
30/01/2025,Maryland,Automotive Fuel,Night,Mr John,Thursday,PMS,29648,₦650,"₦19,271,200",January,1,1,,
30/01/2025,Maryland,Automotive Fuel,Night,Mr John,Thursday,Lubricant,1151,"₦2,000","₦2,302,000",January,1,1,,
30/01/2025,Maryland,Automotive Fuel,Night,Mr John,Thursday,Diesel,15057,₦820,"₦12,346,740",January,1,1,,
30/01/2025,Maryland,Automotive Fuel,Night,Mr John,Thursday,LPG (kg),2160,₦850,"₦1,836,000",January,1,1,,
31/01/2025,Idimu,Cooking Gas,Morning,Mrs Chika,Friday,AGO,9530,₦750,"₦7,147,500",January,1,1,,
31/01/2025,Idimu,Cooking Gas,Morning,Mrs Chika,Friday,PMS,11753,₦650,"₦7,639,450",January,1,1,,
31/01/2025,Idimu,Cooking Gas,Morning,Mrs Chika,Friday,Lubricant,1154,"₦2,000","₦2,308,000",January,1,1,,
31/01/2025,Idimu,Cooking Gas,Morning,Mrs Chika,Friday,Diesel,8480,₦820,"₦6,953,600",January,1,1,,
31/01/2025,Idimu,Cooking Gas,Morning,Mrs Chika,Friday,LPG (kg),2528,₦850,"₦2,148,800",January,1,1,,
01/02/2025,Iwaya,Automotive Fuel,Morning,Mr John,Saturday,AGO,5749,₦750,"₦4,311,750",February,2,1,,
01/02/2025,Iwaya,Automotive Fuel,Morning,Mr John,Saturday,PMS,10040,₦650,"₦6,526,000",February,2,1,,
01/02/2025,Iwaya,Automotive Fuel,Morning,Mr John,Saturday,Lubricant,917,"₦2,000","₦1,834,000",February,2,1,,
01/02/2025,Iwaya,Automotive Fuel,Morning,Mr John,Saturday,Diesel,14520,₦820,"₦11,906,400",February,2,1,,
01/02/2025,Iwaya,Automotive Fuel,Morning,Mr John,Saturday,LPG (kg),1057,₦850,"₦898,450",February,2,1,,
02/02/2025,Maryland,Lubricant,Morning,Mrs Chika,Sunday,AGO,8546,₦750,"₦6,409,500",February,2,1,,
02/02/2025,Maryland,Lubricant,Morning,Mrs Chika,Sunday,PMS,17273,₦650,"₦11,227,450",February,2,1,,
02/02/2025,Maryland,Lubricant,Morning,Mrs Chika,Sunday,Lubricant,831,"₦2,000","₦1,662,000",February,2,1,,
02/02/2025,Maryland,Lubricant,Morning,Mrs Chika,Sunday,Diesel,19407,₦820,"₦15,913,740",February,2,1,,
02/02/2025,Maryland,Lubricant,Morning,Mrs Chika,Sunday,LPG (kg),2197,₦850,"₦1,867,450",February,2,1,,
03/02/2025,Idimu,Lubricant,Night,Miss Ada,Monday,AGO,5144,₦750,"₦3,858,000",February,2,1,,
03/02/2025,Idimu,Lubricant,Night,Miss Ada,Monday,PMS,27155,₦650,"₦17,650,750",February,2,1,,
03/02/2025,Idimu,Lubricant,Night,Miss Ada,Monday,Lubricant,1255,"₦2,000","₦2,510,000",February,2,1,,
03/02/2025,Idimu,Lubricant,Night,Miss Ada,Monday,Diesel,9970,₦820,"₦8,175,400",February,2,1,,
03/02/2025,Idimu,Lubricant,Night,Miss Ada,Monday,LPG (kg),2390,₦850,"₦2,031,500",February,2,1,,
04/02/2025,Iwaya,Lubricant,Afternoon,Mr Tunde,Tuesday,AGO,7195,₦750,"₦5,396,250",February,2,1,,
04/02/2025,Iwaya,Lubricant,Afternoon,Mr Tunde,Tuesday,PMS,24803,₦650,"₦16,121,950",February,2,1,,
04/02/2025,Iwaya,Lubricant,Afternoon,Mr Tunde,Tuesday,Lubricant,546,"₦2,000","₦1,092,000",February,2,1,,
04/02/2025,Iwaya,Lubricant,Afternoon,Mr Tunde,Tuesday,Diesel,8984,₦820,"₦7,366,880",February,2,1,,
04/02/2025,Iwaya,Lubricant,Afternoon,Mr Tunde,Tuesday,LPG (kg),2456,₦850,"₦2,087,600",February,2,1,,
05/02/2025,Maryland,Cooking Gas,Night,Mrs Chika,Wednesday,AGO,11324,₦750,"₦8,493,000",February,2,1,,
05/02/2025,Maryland,Cooking Gas,Night,Mrs Chika,Wednesday,PMS,11317,₦650,"₦7,356,050",February,2,1,,
05/02/2025,Maryland,Cooking Gas,Night,Mrs Chika,Wednesday,Lubricant,1185,"₦2,000","₦2,370,000",February,2,1,,
05/02/2025,Maryland,Cooking Gas,Night,Mrs Chika,Wednesday,Diesel,14884,₦820,"₦12,204,880",February,2,1,,
05/02/2025,Maryland,Cooking Gas,Night,Mrs Chika,Wednesday,LPG (kg),2349,₦850,"₦1,996,650",February,2,1,,
06/02/2025,Idimu,Lubricant,Morning,Mrs Chika,Thursday,AGO,7197,₦750,"₦5,397,750",February,2,1,,
06/02/2025,Idimu,Lubricant,Morning,Mrs Chika,Thursday,PMS,20784,₦650,"₦13,509,600",February,2,1,,
06/02/2025,Idimu,Lubricant,Morning,Mrs Chika,Thursday,Lubricant,616,"₦2,000","₦1,232,000",February,2,1,,
06/02/2025,Idimu,Lubricant,Morning,Mrs Chika,Thursday,Diesel,15956,₦820,"₦13,083,920",February,2,1,,
06/02/2025,Idimu,Lubricant,Morning,Mrs Chika,Thursday,LPG (kg),2852,₦850,"₦2,424,200",February,2,1,,
07/02/2025,Iwaya,Cooking Gas,Morning,Mr Tunde,Friday,AGO,9501,₦750,"₦7,125,750",February,2,1,,
07/02/2025,Iwaya,Cooking Gas,Morning,Mr Tunde,Friday,PMS,27829,₦650,"₦18,088,850",February,2,1,,
07/02/2025,Iwaya,Cooking Gas,Morning,Mr Tunde,Friday,Lubricant,895,"₦2,000","₦1,790,000",February,2,1,,
07/02/2025,Iwaya,Cooking Gas,Morning,Mr Tunde,Friday,Diesel,15908,₦820,"₦13,044,560",February,2,1,,
07/02/2025,Iwaya,Cooking Gas,Morning,Mr Tunde,Friday,LPG (kg),1943,₦850,"₦1,651,550",February,2,1,,
08/02/2025,Maryland,Lubricant,Night,Mr Tunde,Saturday,AGO,9538,₦750,"₦7,153,500",February,2,1,,
08/02/2025,Maryland,Lubricant,Night,Mr Tunde,Saturday,PMS,24472,₦650,"₦15,906,800",February,2,1,,
08/02/2025,Maryland,Lubricant,Night,Mr Tunde,Saturday,Lubricant,1393,"₦2,000","₦2,786,000",February,2,1,,
08/02/2025,Maryland,Lubricant,Night,Mr Tunde,Saturday,Diesel,13875,₦820,"₦11,377,500",February,2,1,,
08/02/2025,Maryland,Lubricant,Night,Mr Tunde,Saturday,LPG (kg),2440,₦850,"₦2,074,000",February,2,1,,
09/02/2025,Idimu,Cooking Gas,Night,Mr John,Sunday,AGO,9707,₦750,"₦7,280,250",February,2,1,,
09/02/2025,Idimu,Cooking Gas,Night,Mr John,Sunday,PMS,16336,₦650,"₦10,618,400",February,2,1,,
09/02/2025,Idimu,Cooking Gas,Night,Mr John,Sunday,Lubricant,1495,"₦2,000","₦2,990,000",February,2,1,,
09/02/2025,Idimu,Cooking Gas,Night,Mr John,Sunday,Diesel,18014,₦820,"₦14,771,480",February,2,1,,
09/02/2025,Idimu,Cooking Gas,Night,Mr John,Sunday,LPG (kg),1426,₦850,"₦1,212,100",February,2,1,,
10/02/2025,Iwaya,Automotive Fuel,Afternoon,Mr Tunde,Monday,AGO,5464,₦750,"₦4,098,000",February,2,1,,
10/02/2025,Iwaya,Automotive Fuel,Afternoon,Mr Tunde,Monday,PMS,16955,₦650,"₦11,020,750",February,2,1,,
10/02/2025,Iwaya,Automotive Fuel,Afternoon,Mr Tunde,Monday,Lubricant,571,"₦2,000","₦1,142,000",February,2,1,,
10/02/2025,Iwaya,Automotive Fuel,Afternoon,Mr Tunde,Monday,Diesel,8124,₦820,"₦6,661,680",February,2,1,,
10/02/2025,Iwaya,Automotive Fuel,Afternoon,Mr Tunde,Monday,LPG (kg),1384,₦850,"₦1,176,400",February,2,1,,
11/02/2025,Maryland,Automotive Fuel,Morning,Mr John,Tuesday,AGO,8641,₦750,"₦6,480,750",February,2,1,,
11/02/2025,Maryland,Automotive Fuel,Morning,Mr John,Tuesday,PMS,14839,₦650,"₦9,645,350",February,2,1,,
11/02/2025,Maryland,Automotive Fuel,Morning,Mr John,Tuesday,Lubricant,535,"₦2,000","₦1,070,000",February,2,1,,
11/02/2025,Maryland,Automotive Fuel,Morning,Mr John,Tuesday,Diesel,9715,₦820,"₦7,966,300",February,2,1,,
11/02/2025,Maryland,Automotive Fuel,Morning,Mr John,Tuesday,LPG (kg),1335,₦850,"₦1,134,750",February,2,1,,
